Lake Name,Municipality,Geographic Township,MNRF District,Coordinates,Waterbody ID,Fish Species
D'Aubigny Creek,City of Brantford,Brantford,Guelph,"43.138, -80.283",17-5542-47775,"['Brook Trout', 'Brown Trout', 'Smallmouth Bass', 'White Sucker']"
Dankert Lake,Municipality of Brockton,Brant,Midhurst,"44.205, -81.052",17-4958-48944,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Deans Lake,Township of North Dumfries,Dumfries,Guelph,"43.302, -80.334",17-5540-47943,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Yellow Perch']"
Decker Creek,Municipality of Lambton Shores,Bosanquet,Aylmer,"43.211, -81.857",17-4296-47813,"['Common Carp', 'White Bass', 'White Sucker']"
Dedrick's Creek,Norfolk County,Walsingham,Aylmer,"42.611, -80.458",17-5449-47173,"['Common Carp', 'Freshwater Drum', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Deer Cr. Re.,Norfolk County,Walsingham,Aylmer,"42.712, -80.565",17-5356-47287,"['Brook Trout', 'Brown Trout', 'Largemouth Bass', 'Rainbow Trout']"
Deer Creek,Municipality of Brockton,Brant,Midhurst,"44.262, -81.201",17-4827-49013,"['Brook Trout', 'Northern Pike', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Bullhead']"
Deerlick Creek,City of Toronto,York,Aurora,"43.762, -79.375",17-6323-48466,not available
Dickies Creek,Township of Huron-Kinloss,Kinloss,Midhurst,"43.964, -81.436",17-4585-48662,"['Brook Trout', 'Brown Trout', 'Northern Pike', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Dils Lake,Township of Wainfleet,Wainfleet,Guelph,"42.993, -79.518",17-6208-47610,"['Black Crappie', 'Largemouth Bass', 'Pumpkinseed']"
Dingman Creek,City of London,Westminster,Aylmer,"42.921, -81.152",17-4660-47514,not available
Dodd Creek,Township of Southwold,Southwold,Aylmer,"42.785, -81.272",17-4823-47366,"['Northern Pike', 'Black Crappie', 'Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Bluegill', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Dolson's Creek,Town of Essex,Colchester,Aylmer,"41.997, -82.839",17-3468-46512,"['Brown Bullhead', 'Common Carp', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Don Head Farm P.,City of Vaughan,Vaughan,Aurora,"43.866, -79.474",17-6226-48579,"['Largemouth Bass', 'Pumpkinseed', 'White Sucker', 'Yellow Perch']"
Don River East Branch,City of Toronto,York,Aurora,"43.757, -79.344",17-6338-48404,"['Brown Trout', 'Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Don River West Branch,City of Toronto,York,Aurora,"43.782, -79.461",17-6338-48405,not available
Donald Creek,Township of Wellesley,Wellesley,Guelph,"43.566, -80.653",17-5310-48219,['White Sucker']
Dry Creek,Haldimand County,Walpole,Guelph,"42.832, -79.981",17-5831-47389,"['Black Crappie', 'Brown Bullhead', 'Common Carp', 'Pumpkinseed', 'White Crappie', 'White Sucker', 'Yellow Bullhead']"
Duck Creek,Town of Lakeshore,Rochester,Aylmer,"42.294, -82.688",17-3612-46842,"['Pumpkinseed', 'Black Crappie', 'Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Freshwater Drum', 'Bluegill', 'Rock Bass', 'White Bass', 'White Crappie', 'White Perch', 'White Sucker']"
Dufferin Lake,Town of Caledon,Caledon,Aurora,"43.801, -80.019",17-5789-48500,"['Brook Trout', 'Rainbow Trout']"
Dumbell Lake,Township of Severn,Matchedash,Midhurst,"44.817, -79.549",17-6147-49636,"['Black Crappie', 'Brown Bullhead', 'Yellow Perch']"
Duncan Lake,Municipality of Grey Highlands,Euphrasia,Midhurst,"44.409, -80.501",17-5397-49171,"['Cisco', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Dunmark Lake,City of Hamilton,Ancaster,Guelph,"43.191, -80.099",17-5735-47822,"['Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Durham Town P.,Municipality of West Grey,Glenelg,Midhurst,"44.18, -80.813",17-5149-48917,"['Brook Trout', 'Rainbow Trout', 'Smallmouth Bass', 'White Sucker']"
Earl Rowe L.,Township of Adjala-Tosorontio,Tosorontio,Midhurst,"44.154, -79.906",17-5875-48893,"['Brown Trout', 'Rainbow Trout', 'White Sucker']"
East Catfish Creek,Township of Malahide,Dorchester,Aylmer,"42.831, -81.005",17-4932-47365,"['Common Carp', 'Rock Bass', 'White Sucker']"
East Humber River,Town of Richmond Hill,Whitchurch,Aurora,"43.947, -79.444",17-6140-48486,not available
East Minniehill Creek,Municipality of Meaford,St Vincent,Midhurst,"44.529, -80.608",17-5318-49347,not available
East Otter Creek,Municipality of Chatham-Kent,Sombra,Aylmer,"42.61, -82.319",17-3906-47189,"['Bluegill', 'White Crappie', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
East Sixteen Mile Creek,Town of Oakville,Trafalgar,Aurora,"43.479, -79.78",17-5984-48131,"['Pumpkinseed', 'Brook Trout', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Brown Bullhead', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Eastern Lake,Township of Severn,Matchedash,Midhurst,"44.804, -79.479",17-6208-49619,"['Brown Bullhead', 'Brown Trout', 'Largemouth Bass', 'Pumpkinseed', 'Walleye', 'White Sucker', 'Yellow Perch']"
Eckardt Creek,City of Markham,Markham,Aurora,"43.879, -79.303",17-6369-48580,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Edward Lake,Township of Clearview,Nottawasaga,Midhurst,"44.367, -80.252",17-5598-49127,"['Brook Trout', 'Largemouth Bass', 'Smallmouth Bass']"
Eighteen Mile Creek,Town of Lincoln,Louth,Guelph,"43.156, -79.348",17-6350-47821,"['Bluegill', 'Common Carp', 'Pumpkinseed', 'White Sucker']"
Ellis Creek,City of Cambridge,Waterloo,Guelph,"43.461, -80.336",17-5553-48071,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Elsie Creek,Haldimand County,Seneca,Guelph,"43.054, -79.807",17-6032-47669,"['Black Crappie', 'Brown Bullhead', 'Common Carp', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Crappie']"
Emery Creek,City of Toronto,York,Aurora,"43.754, -79.551",17-6170-48437,not available
Emmett Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.214, -81.459",17-4640-50066,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Eramosa River,City of Guelph,Guelph,Guelph,"43.548, -80.199",17-5619-48201,"['Brook Trout', 'Brown Bullhead', 'Largemouth Bass', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Errol Creek,Town of Plympton-Wyoming,Plympton,Aylmer,"43.043, -82.177",17-4023-47669,['White Sucker']
Eugenia Lake,Municipality of Grey Highlands,Artemesia,Midhurst,"44.325, -80.512",17-5400-49084,"['Pumpkinseed', 'Brook Trout', 'Brown Trout', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Brown Bullhead', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Evans Creek,Haldimand County,Rainham,Guelph,"42.845, -79.761",17-6022-47429,"['Brown Bullhead', 'Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Fairbanks Creek,Township of Southgate,Egremont,Midhurst,"44.03, -80.724",17-5147-48717,['Brook Trout']
Fairchild Creek,County of Brant,Brantford,Guelph,"43.146, -80.159",17-5719-47739,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
Fairy L.,Town of Saugeen Shores,Saugeen,Midhurst,"44.495, -81.366",17-4709-49267,"['Bluegill', 'Common Carp', 'Pumpkinseed', 'Rainbow Trout']"
Fairy Lake,Town of Halton Hills,Esquesing,Aurora,"43.625, -80.05",17-5766-48303,"['Black Crappie', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Fanshawe Lake,Municipality of Thames Centre,London,Aylmer,"43.057, -81.177",17-4857-47670,"['Pumpkinseed', 'Bluegill', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Brook Trout', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Farlain Lake,Township of Tiny,Tiny,Midhurst,"44.816, -79.971",17-5814-49627,"['Black Crappie', 'Brown Bullhead', 'Largemouth Bass', 'Muskellunge', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Farleys Creek,Township of Wellington North,Arthur,Guelph,"43.848, -80.541",17-5348-48532,['White Sucker']
Feversham Town P.,Municipality of Grey Highlands,Osprey,Midhurst,"44.341, -80.373",17-5500-49097,not available
Fifteen Mile Creek,Town of Pelham,Pelham,Guelph,"43.086, -79.383",17-6368-47823,not available
Fifty Creek,City of Hamilton,Saltfleet,Guelph,"43.212, -79.633",17-6060-47869,"['Rainbow Trout', 'Coho Salmon', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'Lake Whitefish', 'Walleye', 'White Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Firella Creek,Township of Wellesley,Wellesley,Guelph,"43.492, -80.772",17-5189-48125,['Brook Trout']
Fishers Creek,Norfolk County,Charlotteville,Aylmer,"42.726, -80.314",17-5573-47294,not available
Flat Creek,Municipality of West Perth,Fullarton,Guelph,"43.362, -81.267",17-4865-47921,"['Pumpkinseed', 'Rock Bass', 'Smallmouth Bass']"
Flesherton Community Pond,Municipality of Grey Highlands,Artemesia,Midhurst,"44.259, -80.556",17-5355-49005,"['Brook Trout', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Flesherton Creek,Municipality of Grey Highlands,Artemesia,Midhurst,"44.259, -80.536",17-5359-49032,not available
Flesherton L. 3,Municipality of Grey Highlands,Artemesia,Midhurst,"44.254, -80.553",17-5357-49000,"['Brook Trout', 'Rock Bass']"
Fletchers Creek,City of Mississauga,Toronto,Aurora,"43.611, -79.717",17-6036-48299,not available
Floradale P.,Township of Woolwich,Woolwich,Guelph,"43.636, -80.582",17-5337-48313,"['Largemouth Bass', 'Rock Bass']"
Foldens Creek,Township of South-West Oxford,Oxford (On Thames),Aylmer,"43.047, -80.826",17-5112-47667,"['Brook Trout', 'Brown Trout', 'White Sucker']"
Formosa Creek,Municipality of South Bruce,Culross,Midhurst,"44.051, -81.239",17-4733-48791,not available
Forty Mile Creek,Town of Grimsby,Grimsby,Guelph,"43.175, -79.62",17-6178-47838,not available
Four Mile Creek,Town of Niagara-On-The-Lake,Niagara,Guelph,"43.177, -79.109",17-6529-47901,"['Bluegill', 'Brown Bullhead', 'Common Carp', 'Pumpkinseed', 'Smallmouth Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Four Mile Pond,Town of Niagara-On-The-Lake,Niagara,Guelph,"43.255, -79.12",17-6529-47902,"['Brown Bullhead', 'Pumpkinseed', 'White Sucker']"
Fourteen Mile Creek,Town of Oakville,Trafalgar,Aurora,"43.43, -79.779",17-6066-48077,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Fox Creek,Town of Essex,Colchester,Aylmer,"41.997, -82.855",17-3468-46513,"['Brown Bullhead', 'Common Carp']"
Francis Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.673, -81.027",17-4979-49463,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Bullhead', 'Yellow Perch']"
Gates Creek,Haldimand County,Rainham,Guelph,"42.851, -79.816",17-5967-47409,"['Brown Bullhead', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
George Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.195, -81.464",17-4634-50044,"['Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
German Mills Creek,City of Markham,Markham,Aurora,"43.838, -79.402",17-6302-48504,['Pumpkinseed']
Gignac Lake,Township of Tiny,Tiny,Midhurst,"44.853, -79.955",17-5830-49666,"['Largemouth Bass', 'Pumpkinseed', 'Smallmouth Bass', 'Walleye', 'Yellow Perch']"
Gillies Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.205, -81.335",17-4736-50056,"['Cisco', 'Lake Trout', 'Lake Whitefish', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Gillies Lake,Municipality of Grey Highlands,Artemesia,Midhurst,"44.204, -80.562",17-5346-48940,['Yellow Perch']
Gleason Brook,Township of Georgian Bluffs,Keppel,Midhurst,"44.752, -81.092",17-4974-49568,"['Brook Trout', 'Rainbow Trout', 'White Sucker']"
Gleason Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.776, -81.026",17-4979-49578,"['White Sucker', 'Yellow Perch']"
Glen Huron Pond,Township of Clearview,Nottawasaga,Midhurst,"44.351, -80.186",17-5649-49110,"['Rainbow Trout', 'White Sucker']"
Gloucester Pool,Township of Georgian Bay,Baxter,Parry Sound,"44.851, -79.705",17-6026-49666,"['Muskellunge', 'Black Crappie', 'Brown Bullhead', 'Channel Catfish', 'Cisco', 'Lake Trout', 'Lake Whitefish', 'Largemouth Bass', 'Bowfin', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Gold Creek,Municipality of Middlesex Centre,Lobo,Aylmer,"42.989, -81.454",17-4538-47589,"['Common Carp', 'Northern Pike', 'Rock Bass', 'White Sucker']"
Golden Creek,Municipality of Lambton Shores,Bosanquet,Aylmer,"43.189, -81.892",17-4255-47842,"['Black Crappie', 'Bluegill', 'Largemouth Bass', 'Pumpkinseed', 'White Crappie', 'White Sucker']"
Gordon Lake,Municipality of Kincardine,Kincardine,Midhurst,"44.137, -81.448",17-4641-48869,"['Common Carp', 'Yellow Perch']"
Gould Lake,Town of South Bruce Peninsula,Amabel,Midhurst,"44.598, -81.191",17-4839-49376,"['Pumpkinseed', 'Bluegill', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Brown Bullhead', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Gowan Lake,Township of Georgian Bluffs,Keppel,Midhurst,"44.741, -80.993",17-5006-49539,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Grand River,Haldimand County,Cayuga,Guelph,"42.916, -79.79",17-6171-47450,"['Muskellunge', 'Black Crappie', 'Bowfin', 'Brown Bullhead', 'Channel Catfish', 'Coho Salmon', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Mooneye', 'Bluegill', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Crappie', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Grass Lake,Township of Severn,Orillia,Midhurst,"44.77, -79.391",17-6272-49580,"['Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Walleye', 'Yellow Perch']"
Green Lake,Town of Caledon,Caledon,Aurora,"43.84, -80.008",17-5797-48543,"['Brown Bullhead', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker']"
Greenock Creek,Municipality of Brockton,Brant,Midhurst,"44.107, -81.208",17-4733-48810,not available
Gregloch L.,Township of King,King,Aurora,"43.948, -79.584",17-6136-48668,"['Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'White Sucker', 'Yellow Perch']"
Greins P.,Township of Southgate,Egremont,Midhurst,"44.064, -80.793",17-5166-48788,"['Brook Trout', 'White Sucker']"
Grenadier Pond,City of Toronto,York,Aurora,"43.641, -79.467",17-6236-48331,"['Northern Pike', 'Black Crappie', 'Bowfin', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Bluegill', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Grier Creek,Municipality of Meaford,St Vincent,Midhurst,"44.54, -80.533",17-5411-49310,not available
Grimston Creek,Municipality of Arran-Elderslie,Elderslie,Midhurst,"44.394, -81.102",17-4934-49179,not available
Grindstone Creek,City of Burlington,not available,Aurora,"43.291, -79.884",17-5906-47927,"['Muskellunge', 'Black Crappie', 'Bowfin', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Channel Catfish', 'Coho Salmon', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Mooneye', 'Bluegill', 'Northern Pike', 'Pumpkinseed', 'Rainbow Smelt', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'White Bass', 'White Crappie', 'White Perch', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Guelph Lake,Township of Guelph/eramosa,Guelph,Guelph,"43.602, -80.237",17-5605-48275,"['Common Carp', 'Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Gulliver's Lake,City of Hamilton,West Flamborough,Guelph,"43.36, -80.022",17-5792-48010,"['Brook Trout', 'White Sucker']"
Gully Creek,Municipality of Central Huron,Goderich,Guelph,"43.614, -81.704",17-4425-48292,"['Rainbow Trout', 'White Sucker']"
Habermehl Creek,Municipality of West Grey,Bentinck,Midhurst,"44.196, -81.02",17-5000-48902,not available
Habermehl Lake,Municipality of West Grey,Bentinck,Midhurst,"44.215, -81.028",17-4978-48955,"['Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Yellow Perch']"
Hackett Lake,Township of King,King,Aurora,"43.945, -79.589",17-6132-48665,"['Bluegill', 'Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Smallmouth Bass', 'Yellow Perch']"
Hamel's Pond,Municipality of South Bruce,Carrick,Midhurst,"44.043, -81.122",17-4903-48764,"['Brook Trout', 'Brown Trout', 'White Sucker']"
Hamilton Creek,Township of Chatsworth,Holland,Midhurst,"44.402, -80.782",17-5146-49143,"['Brook Trout', 'Brown Trout', 'Northern Pike', 'Rock Bass', 'Walleye', 'White Sucker']"
Hanlon's Creek,City of Guelph,Puslinch,Guelph,"43.506, -80.252",17-5606-48164,"['Brook Trout', 'Pumpkinseed', 'White Sucker']"
Harding P.,Township of Mulmur,Mulmur,Midhurst,"44.121, -80.174",17-5661-48854,"['Rainbow Trout', 'White Sucker']"
Hardy Creek,Municipality of Brooke-Alvinston,Brooke,Aylmer,"42.88, -81.83",17-4292-47462,"['Common Carp', 'White Crappie', 'White Sucker', 'Yellow Bullhead']"
Harrington Pond,Township of Zorra,Zorra,Aylmer,"43.24, -80.992",17-5007-47871,['Rainbow Trout']
Harrison Creek,Town of East Gwillimbury,East Gwillimbury,Aurora,"44.144, -79.387",17-6306-48896,"['Pumpkinseed', 'White Sucker']"
Harrison Lake,Township of Chatsworth,Sullivan,Midhurst,"44.331, -80.904",17-5076-49085,"['Northern Pike', 'White Sucker']"
Hawkestone Creek,Township of Oro-Medonte,Oro,Midhurst,"44.514, -79.556",17-6219-49283,not available
Hayes Lake,Township of Huron-Kinloss,Kinloss,Midhurst,"44.067, -81.464",17-4628-48792,"['Brown Bullhead', 'Northern Pike']"
Haynes Lake,Town of Richmond Hill,Whitchurch,Aurora,"43.959, -79.408",17-6284-48692,"['Brown Bullhead', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'White Sucker', 'Yellow Perch']"
Head River,City of Kawartha Lakes,Digby,Bancroft,"44.744, -79",17-6386-49546,"['Muskellunge', 'Rock Bass', 'Smallmouth Bass']"
Heart Lake,City of Brampton,Chinguacousy,Aurora,"43.741, -79.795",17-5970-48435,"['Brown Bullhead', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Hendrie Lake,Township of Springwater,Vespra,Midhurst,"44.473, -79.828",17-5932-49249,"['Common Carp', 'Northern Pike', 'White Sucker', 'Yellow Bullhead']"
Hepworth Creek,Township of Georgian Bluffs,Keppel,Midhurst,"44.685, -81.068",17-4921-49439,not available
Hickory Creek,Town of Plympton-Wyoming,Plympton,Aylmer,"43.106, -82.056",17-4119-47741,"['Channel Catfish', 'Common Carp', 'Rock Bass', 'Smallmouth Bass', 'White Crappie', 'White Sucker']"
Highland Creek,City of Toronto,Scarborough,Aurora,"43.774, -79.2",17-6489-48474,"['Rainbow Trout', 'Brown Bullhead', 'Common Carp', 'Lake Trout', 'Pumpkinseed', 'Rainbow Smelt', 'Brown Trout', 'Rock Bass', 'White Bass', 'White Perch', 'White Sucker', 'Yellow Perch']"
Highland Creek,Town of Plympton-Wyoming,Plympton,Aylmer,"43.084, -82.092",17-4091-47724,"['Common Carp', 'White Sucker']"
Hillman Creek,Municipality of Leamington,Mersea,Aylmer,"42.047, -82.516",17-3758-46544,"['Brown Bullhead', 'Channel Catfish', 'Common Carp', 'Pumpkinseed', 'White Bass', 'Yellow Bullhead']"
Hines Lake,Township of Chatsworth,Holland,Midhurst,"44.424, -80.735",17-5210-49188,"['Bluegill', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Hodgins Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.769, -81.26",17-4794-49571,"['Northern Pike', 'Rock Bass']"
Hofstetter Lake,Township of Wilmot,Wilmot,Guelph,"43.4, -80.613",17-5313-48050,"['Brown Bullhead', 'Largemouth Bass', 'Rock Bass', 'Yellow Perch']"
Hogg Creek,Township of Tay,Tay,Midhurst,"44.731, -79.784",17-5963-49539,not available
Holland L. B,Township of Chatsworth,Holland,Midhurst,"44.379, -80.869",17-5104-49138,"['Brook Trout', 'Brown Trout']"
Holland River,Town of East Gwillimbury,East Gwillimbury,Aurora,"44.169, -79.517",17-6185-48949,"['Pumpkinseed', 'Black Crappie', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Bowfin', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Holland River East Branch,Town of East Gwillimbury,East Gwillimbury,Aurora,"44.127, -79.504",17-6186-48912,"['Black Crappie', 'Bowfin', 'Brown Bullhead', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Holmes Creek,Haldimand County,Cayuga,Guelph,"42.921, -79.865",17-5938-47538,not available
Holstein Dam,Township of Southgate,Egremont,Midhurst,"44.062, -80.756",17-5200-48772,"['Brook Trout', 'White Sucker']"
Hopewell Creek,Township of Woolwich,Waterloo,Guelph,"43.485, -80.405",17-5472-48144,"['Largemouth Bass', 'Pumpkinseed', 'Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Hopkins Creek,Municipality of Central Huron,Goderich,Guelph,"43.65, -81.552",17-4503-48348,"['Brook Trout', 'Brown Trout', 'Coho Salmon', 'Rainbow Trout', 'White Sucker']"
Horner Creek,County of Brant,Brantford,Guelph,"43.131, -80.362",17-5515-47756,not available
Horse Lake,Municipality of Northern Bruce Peninsula,St Edmunds,Midhurst,"45.239, -81.522",17-4589-50093,"['Pumpkinseed', 'Rock Bass', 'White Sucker', 'Yellow Perch']"
Horseshoe Lake,Township of Severn,Matchedash,Midhurst,"44.844, -79.624",17-6086-49658,"['Rainbow Trout', 'Brown Bullhead', 'Largemouth Bass', 'Muskellunge', 'Pumpkinseed', 'Lake Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Humber Creek,City of Toronto,Etobicoke,Aurora,"43.693, -79.53",17-6198-48383,not available
Humber River,City of Vaughan,Vaughan,Aurora,"43.767, -79.582",17-6237-48321,"['Rainbow Smelt', 'Black Crappie', 'Bowfin', 'Brook Trout', 'Brown Bullhead', 'Brown Trout', 'Common Carp', 'Freshwater Drum', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Bluegill', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Bass', 'White Crappie', 'White Perch', 'White Sucker', 'Yellow Bullhead', 'Yellow Perch']"
Hunsburger Creek,Township of Wilmot,Wilmot,Guelph,"43.357, -80.637",17-5297-47977,"['Brook Trout', 'Brown Trout', 'White Sucker']"
Idlewood Creek,City of Kitchener,Waterloo,Guelph,"43.445, -80.435",17-5483-48101,['White Sucker']
Indian Brook,Town of the Blue Mountains,Collingwood,Midhurst,"44.548, -80.423",17-5462-49514,not available
Indian Creek,Township of Georgian Bluffs,Sarawak,Midhurst,"44.656, -80.956",17-5040-49402,not available
Indian Creek,City of Burlington,Nelson,Aurora,"43.316, -79.811",17-5966-47960,"['Brown Trout', 'Largemouth Bass', 'Pumpkinseed', 'Rainbow Trout', 'White Sucker']"
Innisfil Creek,Town of New Tecumseth,Tecumseth,Midhurst,"44.133, -79.803",17-5947-48871,"['Brown Trout', 'Burbot', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'White Sucker']"
Ira Lake,Municipality of Northern Bruce Peninsula,Lindsay,Midhurst,"45.031, -81.378",17-4703-49862,"['Brown Bullhead', 'Northern Pike', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker', 'Yellow Perch']"
Irish Creek,City of Cambridge,Waterloo,Guelph,"43.447, -80.298",17-5594-48090,"['Brook Trout', 'Northern Pike', 'Pumpkinseed', 'Rock Bass', 'White Sucker']"
Irish Lake,Municipality of Grey Highlands,Artemesia,Midhurst,"44.263, -80.64",17-5288-49009,"['Bluegill', 'Brook Trout', 'Brown Bullhead', 'Channel Catfish', 'Pumpkinseed', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Yellow Perch']"
Irvine Creek,Township of Centre Wellington,Nichol,Guelph,"43.709, -80.446",17-5457-48366,"['Rock Bass', 'Smallmouth Bass', 'White Sucker']"
Isaac Lake,Town of South Bruce Peninsula,Albemarle,Midhurst,"44.772, -81.231",17-4813-49588,"['Pumpkinseed', 'Bowfin', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Brown Bullhead', 'Rock Bass', 'Smallmouth Bass', 'Walleye', 'White Sucker', 'Yellow Perch']"
Island L.,Town of Whitchurch-Stouffville,Whitchurch,Aurora,"44.046, -79.254",17-6399-48782,"['Brown Bullhead', 'Pumpkinseed', 'Smallmouth Bass', 'White Sucker']"
Jacks Lake,Town of Wasaga Beach,Sunnidale,Midhurst,"44.487, -79.995",17-5799-49262,"['Pumpkinseed', 'Black Crappie', 'Brown Bullhead', 'Burbot', 'Channel Catfish', 'Common Carp', 'Largemouth Bass', 'Northern Pike', 'Bowfin', 'Rainbow Trout', 'Rock Bass', 'Smallmouth Bass', 'Splake', 'Walleye', 'White Sucker', 'Yellow Perch']"
